author,ID,citation,title,year,source,doi,link,remarks
"Vári L., Kroon D. M. & Krüger M.",1,"Vári L., Kroon D. M. & Krüger M., 2002, Classification and checklist of the species of Lepidoptera recorded in Southern Africa. vol  issue  pages i–xxi, 1–385",Classification and checklist of the species of Lepidoptera recorded in Southern Africa.,2002,,,,
Bouyer Th.,3,"Bouyer Th., 1999a, Catalogue of African Saturniidae. vol 1 issue  pages 1–73, pls 1–2",Catalogue of African Saturniidae.,1999,,,,
Puplesis R. K. & Diškus A.,5,"Puplesis R. K. & Diškus A., 2005, Checklist of African Tischeriidae (Insecta: Lepidoptera) with a redescription of the formerly neglected Tischeria urticicolella from Equatorial Africa. vol 22 issue  pages 1051–1055",Checklist of African Tischeriidae (Insecta: Lepidoptera) with a redescription of the formerly neglected Tischeria urticicolella from Equatorial Africa.,2005,,,,
Diškus A. & Puplesis R. K.,6,"Diškus A. & Puplesis R. K., 2003, Catalogue of the world Nepticuloidea & Tischerioidea. – In: Puplesis R. & Diškus A. (Eds), The Nepticuloidea & Tischerioidea (Lepidoptera) - a global view, with strategic regional revisions. vol  issue  pages 1–512, chapter pagination 318–436","Catalogue of the world Nepticuloidea & Tischerioidea. – In: Puplesis R. & Diškus A. (Eds), The Nepticuloidea & Tischerioidea (Lepidoptera) - a global view, with strategic regional revisions.",2003,,,https://www.researchgate.net/publication/282577423,
Ghesquière J.,7,"Ghesquière J., 1940a, Lépidoptères Microlépidoptères (première partie). vol Sér. III (II) 7 issue 1 pages 1–120, pls i–v",Lépidoptères Microlépidoptères (première partie).,1940,,,,
D'Abrera B.,8,"D'Abrera B., 1987, Sphingidae Mundi. Hawk Moths of the world based on a checklist by Alan Hayes and the collection he curated in the British Museum (Natural History). vol  issue  pages 1–226",Sphingidae Mundi. Hawk Moths of the world based on a checklist by Alan Hayes and the collection he curated in the British Museum (Natural History).,1987,,,,
Kitching I. J. & Cadiou J.-M.,9,"Kitching I. J. & Cadiou J.-M., 2000, Hawkmoths of the world. An annotated and illustrated revisionary checklist (Lepidoptera: Sphingidae). vol  issue  pages i–viii, 1–227, pls 1–7",Hawkmoths of the world. An annotated and illustrated revisionary checklist (Lepidoptera: Sphingidae).,2000,,,,
Pierre J.,10,"Pierre J., 2001a, Un nouveau Polyptychus du Nigeria (Lepidoptera, Sphingidae). vol 106 issue 2 pages 215","Un nouveau Polyptychus du Nigeria (Lepidoptera, Sphingidae).",2001,,,https://www.persee.fr/doc/bsef_0037-928x_2001_num_106_2_16755,
Pierre J.,11,"Pierre J., 2001b, Les Sphinx du Gabon (Lepidoptera, Sphingidae). vol 106 issue 3 pages 261–271","Les Sphinx du Gabon (Lepidoptera, Sphingidae).",2001,,,https://www.persee.fr/doc/bsef_0037-928x_2001_num_106_3_16763,
Basquin P. & Pierre J.,12,"Basquin P. & Pierre J., 2004, Complément à la connaissance des Sphinx du Gabon (Lep. Sphingidae). vol 109 issue 1 pages 91–92",Complément à la connaissance des Sphinx du Gabon (Lep. Sphingidae).,2004,,,https://www.persee.fr/doc/bsef_0037-928x_2004_num_109_1_16088,
Basquin P. & Pierre J.,13,"Basquin P. & Pierre J., 2005, Contribution à la connaissance des Sphinx de la République Centrafricaine avec descriptions de nouvelles espèce et sous-espèce et d'une femelle inédite (Lepidoptera, Sphingidae). vol 110 issue 4–5 pages 495–508","Contribution à la connaissance des Sphinx de la République Centrafricaine avec descriptions de nouvelles espèce et sous-espèce et d'une femelle inédite (Lepidoptera, Sphingidae).",2005,,,https://www.persee.fr/doc/bsef_0037-928x_2005_num_110_4_16270,
Ghesquière J.,14,"Ghesquière J., 1940c, Quelques microlépidoptères gelechiadae congolais. vol 34 issue 1 pages 101–108",Quelques microlépidoptères gelechiadae congolais.,1940,,,,
Ghesquière J.,15,"Ghesquière J., 1939b, La teigne des crucifères au Congo belge. vol 33 issue  pages 61–66",La teigne des crucifères au Congo belge.,1939,,,,
Ghesquière J.,16,"Ghesquière J., 1940b, Un Pyroderces sénégalais nuisible au mil (Lép. Cosmopterygidae). vol 33 issue 3 pages 277–278",Un Pyroderces sénégalais nuisible au mil (Lép. Cosmopterygidae).,1940,,,,
Ghesquière J.,17,"Ghesquière J., 1939a, Un nouveau parasite extracongolais. vol 32 issue 1 pages 143",Un nouveau parasite extracongolais.,1939,,,,
Ghesquière J.,18,"Ghesquière J., 1942b, Un nouvel ennemi du mil au Sénégal. vol 35 issue 4 pages 424",Un nouvel ennemi du mil au Sénégal.,1942,,,,
Ghesquière J.,19,"Ghesquière J., 1931, Sur l'importance économique et la bionomie de deux pyraustines nouvelles pour le Congo belge Leucinodes orbonalis Guen. et Pimelephila ghesquieri Tams. vol 71 issue 6–8 pages 131–138",Sur l'importance économique et la bionomie de deux pyraustines nouvelles pour le Congo belge Leucinodes orbonalis Guen. et Pimelephila ghesquieri Tams.,1931,,,,
Prout L. B.,20,"Prout L. B., 1922c, Geometridae. – In: Prout, L. B. & Prout, A. E., New South African Heterocera. vol 8 issue 3 pages 149–186, pl. 1","Geometridae. – In: Prout, L. B. & Prout, A. E., New South African Heterocera.",1922,,,https://www.biodiversitylibrary.org/page/50414672,
Scalercio S.,21,"Scalercio S., 2006, Through species and ethnospecies: edible Psychidae in Equatorial Africa (Lepidoptera Tineoidea). vol 138 issue 2 pages 137–147",Through species and ethnospecies: edible Psychidae in Equatorial Africa (Lepidoptera Tineoidea).,2006,,,,
Bourgogne J.,22,"Bourgogne J., 1986c, Une espèce peu connue: Acanthopsyche carbonaria Karsch (Lep. Psychidae). vol 91 issue 9–10 pages 287–291",Une espèce peu connue: Acanthopsyche carbonaria Karsch (Lep. Psychidae).,1986,,,https://www.persee.fr/doc/bsef_0037-928x_1986_num_91_9_18233,
Goodger D. T. & Watson A.,23,"Goodger D. T. & Watson A., 1995, The Afrotropical Tiger-Moths. An illustrated catalogue, with generic diagnoses and species distribution, of the Afrotropical Arctiinae (Lepidoptera: Arctiidae). vol  issue  pages 1–65","The Afrotropical Tiger-Moths. An illustrated catalogue, with generic diagnoses and species distribution, of the Afrotropical Arctiinae (Lepidoptera: Arctiidae).",1995,,,,
Darge Ph.,24,"Darge Ph., 2006a, Un nouveau taxon de Pseudoclanis originaire de l'île de Bioko (Lepidoptera, Sphingidae). vol 62 issue 4 pages 55–56","Un nouveau taxon de Pseudoclanis originaire de l'île de Bioko (Lepidoptera, Sphingidae).",2006,,,,
Zeller P. C.,25,"Zeller P. C., 1852b, Lepidoptera Microptera, quae J. A. Wahlberg in Caffrorum terra collegit. vol (Ser. 3) 40 issue  pages 1–120","Lepidoptera Microptera, quae J. A. Wahlberg in Caffrorum terra collegit.",1852,,,https://www.biodiversitylibrary.org/page/34531645,
Dubatolov V. V.,26,"Dubatolov V. V., 2006b, New genera and species of Arctiinae from the Afrotropical fauna (Lepidoptera: Arctiidae). vol 27 issue 3 pages 139–152",New genera and species of Arctiinae from the Afrotropical fauna (Lepidoptera: Arctiidae).,2006,,,https://www.zobodat.at/pdf/NEVA_27_0139-0152.pdf,
Cieslak A. & Häuser C. L.,27,"Cieslak A. & Häuser C. L., 2006, Zwei neue Arten der Gattung Asura Walker, 1854 aus Ostafrika (Lepidoptera: Arctiidae, Lithosiinae). vol 27 issue 4 pages 215–220","Zwei neue Arten der Gattung Asura Walker, 1854 aus Ostafrika (Lepidoptera: Arctiidae, Lithosiinae).",2006,,,https://www.zobodat.at/pdf/NEVA_27_0215-0220.pdf,
Brown J. W.,28,"Brown J. W., 2005, Tortricidae (Lepidoptera). – In Landry, B. (ed.) World Catalogue of Insects, Volume 5. vol  issue  pages 1–741","Tortricidae (Lepidoptera). – In Landry, B. (ed.) World Catalogue of Insects, Volume 5.",2005,,,,
Razowski J.,29,"Razowski J., 1993a, Cochylini (Lepidoptera: Tortricidae) of the Ethiopian Region. vol 36 issue 1 pages 137–159",Cochylini (Lepidoptera: Tortricidae) of the Ethiopian Region.,1993,,,,
Razowski J.,30,"Razowski J., 2001, Tuckia, a new Afrotropical Archipini genus, with description of one new species (Lepidoptera: Tortricidae) vol 70 issue  pages 87–90","Tuckia, a new Afrotropical Archipini genus, with description of one new species (Lepidoptera: Tortricidae)",2001,,,,
Razowski J.,31,"Razowski J., 2002a, The genera of Tortricidae (Lepidoptera) common for the Palaearctic and Afrotropical regions. vol 45 issue 3 pages 197–205",The genera of Tortricidae (Lepidoptera) common for the Palaearctic and Afrotropical regions.,2002,,,,
Razowski J.,32,"Razowski J., 2005a, Tortricidae (Lepidoptera) from South Africa. 1: Tortricini and Cochylini. vol 74 issue 4 pages 495–508",Tortricidae (Lepidoptera) from South Africa. 1: Tortricini and Cochylini.,2005,,,,
Razowski J.,33,"Razowski J., 2006a, Tortricidae (Lepidoptera) of South Africa. 2: Three new genera of Tortricinae. vol 75 issue 3 pages 417–425",Tortricidae (Lepidoptera) of South Africa. 2: Three new genera of Tortricinae.,2006,,,,
Razowski J.,34,"Razowski J., 2006b, Tortricidae (Lepidoptera) from South Africa. 3: Hectaphelia gen. n., Aphelia Hübner and Clepsis Guenée. vol 75 issue 3 pages 427–438","Tortricidae (Lepidoptera) from South Africa. 3: Hectaphelia gen. n., Aphelia Hübner and Clepsis Guenée.",2006,,,,
Diakonoff A.,35,"Diakonoff A., 1988b, Tortricidae from Madagascar Part 2. Olethreutinae, 4 (Lepidoptera). vol 24 issue 3 pages 307–330","Tortricidae from Madagascar Part 2. Olethreutinae, 4 (Lepidoptera).",1988,,,https://gallica.bnf.fr/ark:/12148/bpt6k6141059g/f318.item,
Meyrick E.,36,"Meyrick E., 1930a, Exotic Microlepidoptera 3. vol 3 issue 18–20 pages 545–640",Exotic Microlepidoptera 3.,1930,,,https://www.biodiversitylibrary.org/page/60297905,
Razowski J.,37,"Razowski J., 1966, World fauna of the Tortricini (Lepidoptera Tortricidae). vol 1966 issue  pages 1–576, pls 1–41",World fauna of the Tortricini (Lepidoptera Tortricidae).,1966,,,,
Razowski J.,38,"Razowski J., 1986, The data on Tortricini (Lepidoptera, Tortricidae) published after 1966. vol 29 issue 19 pages 423–440","The data on Tortricini (Lepidoptera, Tortricidae) published after 1966.",1986,,,http://www.isez.pan.krakow.pl/journals/azc/pdf/29/29_19.pdf,
Razowski J.,39,"Razowski J., 1990, Descriptions and notes on tropical Tortricini (Lepidoptera: Tortricidae). vol 33 issue 28 pages 575–594",Descriptions and notes on tropical Tortricini (Lepidoptera: Tortricidae).,1990,,,http://www.isez.pan.krakow.pl/journals/azc/pdf/33/33_28.pdf,
Walsingham Thomas de Grey,40,"Walsingham Thomas de Grey, 1891a, African Micro-Lepidoptera. vol 1891 issue 1 pages 63–132, pls 3–7",African Micro-Lepidoptera.,1891,,,https://www.biodiversitylibrary.org/page/33776918,
Razowski J.,41,"Razowski J., 1964b, A discussion of some groups of Tortricini (Tortricidae, Lepidoptera) with descriptions of new genera and species. vol 9 issue 4 pages 357–415","A discussion of some groups of Tortricini (Tortricidae, Lepidoptera) with descriptions of new genera and species.",1964,,,http://www.isez.pan.krakow.pl/journals/azc/pdf/09/9_05.pdf,
Hübner J.,42,"Hübner J., 1816–1826, Verzeichnis bekannter Schmettlinge [sic]. vol  issue  pages 1–432",Verzeichnis bekannter Schmettlinge [sic].,1816,,,https://www.biodiversitylibrary.org/page/33045094,
Busck A.,43,"Busck A., 1934, Microlepidoptera of Cuba. vol 13 issue  pages 151–217",Microlepidoptera of Cuba.,1934,,,,
Razowski J.,44,"Razowski J., 1981a, Nigerian Tortricini (Lepidoptera, Tortricidae). vol 25 issue 14 pages 319–340","Nigerian Tortricini (Lepidoptera, Tortricidae).",1981,,,http://www.isez.pan.krakow.pl/journals/azc/pdf/25/25_14.pdf,
Walker F.,45,"Walker F., 1866b, List of the Specimens of Lepidopterous Insects in the Collection of the British Museum. Part XXXV.– Supplement Part 5. vol 35 issue  pages i–iv, 1535–2040",List of the Specimens of Lepidopterous Insects in the Collection of the British Museum. Part XXXV.– Supplement Part 5.,1866,,,https://www.biodiversitylibrary.org/page/38720428,
Diakonoff A.,46,"Diakonoff A., 1960a, Tortricidae from Madagascar. Part I. Tortricinae and Chlidanotinae. vol (2) 53 issue 2 pages 1–109, pls 1–40",Tortricidae from Madagascar. Part I. Tortricinae and Chlidanotinae.,1960,,,,
Linnaeus C.,47,"Linnaeus C., 1758, Systema Naturae per Regna Tria Naturae, .... Tomus I. Editio Decima, Reformata. vol  issue  pages i–iv, 1–824","Systema Naturae per Regna Tria Naturae, .... Tomus I. Editio Decima, Reformata.",1758,,,https://www.biodiversitylibrary.org/page/25033847,
Diakonoff A.,48,"Diakonoff A., 1973a, Tortricidae of the Andringitra Range, Central Madagascar (Lepidoptera). Part 1. Tortricinae. vol (3) 108 issue 1–2 pages 105–143","Tortricidae of the Andringitra Range, Central Madagascar (Lepidoptera). Part 1. Tortricinae.",1973,,,,
Billberg G. J.,49,"Billberg G. J., 1820, Enumeratio Insectorum in Museo Gust. Joh. Billberg. vol  issue  pages 1–138",Enumeratio Insectorum in Museo Gust. Joh. Billberg.,1820,,,https://www.biodiversitylibrary.org/page/33665717,
Treitschke F.,50,"Treitschke F., 1829, Die Schmetterlinge von Europa (Fortsetzung des Ochsenheimer'schen Werkes). Zünsler. G. Herminia – Ennychia. vol 7 issue  pages i–vi, 1–252",Die Schmetterlinge von Europa (Fortsetzung des Ochsenheimer'schen Werkes). Zünsler. G. Herminia – Ennychia.,1829,,,https://www.biodiversitylibrary.org/page/34453663,
Stephens J. F.,52,"Stephens J. F., 1829c, A Systematic Catalogue of the British Insects: being an attempt to arrange all the hitherto discovered indigenous insects in accordance with their natural affinities. vol 2 issue  pages i–xxxiv, 1–416",A Systematic Catalogue of the British Insects: being an attempt to arrange all the hitherto discovered indigenous insects in accordance with their natural affinities.,1829,,,https://www.biodiversitylibrary.org/page/9484543,
Hübner J.,53,"Hübner J., 1822, Systematisch-alphabetisches Verzeichniss alles bisher bey den Fürbildungen zur Sammlung europäischer Schmetterlinge angegebenen Gattungsbenennungen; mit Vormerking auch augsburgischer Gattungen. vol  issue  pages 1–81",Systematisch-alphabetisches Verzeichniss alles bisher bey den Fürbildungen zur Sammlung europäischer Schmetterlinge angegebenen Gattungsbenennungen; mit Vormerking auch augsburgischer Gattungen.,1822,,,https://www.biodiversitylibrary.org/page/33044958,
Stephens J. F.,54,"Stephens J. F., 1829a, The nomenclature of British Insects; being a compendious list of such species as are contained in the systematic catalogue of British insects, and forming a guide to their classification. vol  issue  pages 1–84","The nomenclature of British Insects; being a compendious list of such species as are contained in the systematic catalogue of British insects, and forming a guide to their classification.",1829,,,https://www.biodiversitylibrary.org/page/35749740,
Latreille P. A.,55,"Latreille P. A., 1802–1805, Histoire naturelle, générale et particulière des Crustacés et des Insectes. Ouvrage faisant suite aux Oeuvres de Leclerq et de Buffon, et partie du cours complet d'Histoire naturelle rédigé par C. S. Sonnini. 14 volumes. vol 3 issue  pages 1–468","Histoire naturelle, générale et particulière des Crustacés et des Insectes. Ouvrage faisant suite aux Oeuvres de Leclerq et de Buffon, et partie du cours complet d'Histoire naturelle rédigé par C. S. Sonnini. 14 volumes.",1802,,,https://www.biodiversitylibrary.org/page/24884921,
Walsingham Thomas de Grey,56,"Walsingham Thomas de Grey, 1895, New species of North American Tortricidae. vol 1895 issue 4 pages 495–518, pl. 12",New species of North American Tortricidae.,1895,,,https://www.biodiversitylibrary.org/page/47590004,
Meyrick E.,57,"Meyrick E., 1906a, Descriptions of Indian Micro-Lepidoptera.II. vol 17 issue 1 pages 133–153, 403–417",Descriptions of Indian Micro-Lepidoptera.II.,1906,,,https://www.biodiversitylibrary.org/page/30119297,
Diakonoff A.,58,"Diakonoff A., 1952a, Records and descriptions of Microlepidoptera (5). vol 31 issue 16 pages 165–178",Records and descriptions of Microlepidoptera (5).,1952,,,https://www.repository.naturalis.nl/document/149236,
Guenée A. M.,59,"Guenée A. M., 1845, Essai sur une nouvelle classification des Microlépidoptères et catalogue des espèces européennes connues jusqu'à jour. vol (2) 3 issue  pages 105–192, 207–344",Essai sur une nouvelle classification des Microlépidoptères et catalogue des espèces européennes connues jusqu'à jour.,1845,,,https://www.biodiversitylibrary.org/page/8310277,
Stainton H. T.,60,"Stainton H. T., 1859c, A Manual of British Butterflies and Moths. vol 2 issue  pages i–xi, 1–475",A Manual of British Butterflies and Moths.,1859,,,,
Pierce F. N. & Metcalfe J. W.,61,"Pierce F. N. & Metcalfe J. W., 1922, The genitalia of the group Tortricidae of the Lepidoptera of the British Islands. vol  issue  pages 1–101, pls 1–34",The genitalia of the group Tortricidae of the Lepidoptera of the British Islands.,1922,,,https://www.biodiversitylibrary.org/page/9633879,
Diakonoff A.,62,"Diakonoff A., 1977a, Description of Hilographini, a new tribus in the Tortricidae (Lepidoptera). vol 37 issue  pages 76–77","Description of Hilographini, a new tribus in the Tortricidae (Lepidoptera).",1977,,,,
Obraztsov N. S.,63,"Obraztsov N. S., 1966b, Neotropical Microlepidoptera, IX: Revision of genus Pseudatteria (Lepidoptera: Tortricidae) vol 118 issue 3535 pages 577–622","Neotropical Microlepidoptera, IX: Revision of genus Pseudatteria (Lepidoptera: Tortricidae)",1966,,,https://www.biodiversitylibrary.org/page/7759265,
Kuznetzov V. I.,64,"Kuznetzov V. I., 1970, [Title]. vol 49 issue  pages ",[Title].,1970,,,,
Diakonoff A.,65,"Diakonoff A., 1973b, The South Asiatic Olethreutini (Lepidoptera: Tortricidae). vol 1 issue  pages 1–700",The South Asiatic Olethreutini (Lepidoptera: Tortricidae).,1973,,,,
Falkovitsh M. I.,66,"Falkovitsh M. I., 1962, [Title]. vol 41 issue  pages ",[Title].,1962,,,,
Diakonoff A.,67,"Diakonoff A., 1953, Microlepidoptera of New Guinea. Part II. vol (2) 49 issue 3 pages 1–166",Microlepidoptera of New Guinea. Part II.,1953,,,,
Meyrick E.,68,"Meyrick E., 1909c, Descriptions of Indian Micro-Lepidoptera. IX. vol 19 issue 2 pages 410–437",Descriptions of Indian Micro-Lepidoptera. IX.,1909,,,https://www.biodiversitylibrary.org/page/5449735,
Curtis J.,69,"Curtis J., 1825–1839, British Entomology; being Illustrations and Descriptions of the Genera of Insects found in Great Britain and Ireland etc. vol 3 issue  pages [unpaginated]",British Entomology; being Illustrations and Descriptions of the Genera of Insects found in Great Britain and Ireland etc.,1825,,,https://www.biodiversitylibrary.org/page/48019166,
Stephens J. F.,70,"Stephens J. F., 1834–1835, Illustrations of British Entomology or, a Synopsis of Indigenous Insects: containing their generic and specific distinctions with an account of their metamorphoses, times of appearance, localities, food, and economy, ... Insecta Haustellata. vol 4 issue  pages 1–436, pls 23–40","Illustrations of British Entomology or, a Synopsis of Indigenous Insects: containing their generic and specific distinctions with an account of their metamorphoses, times of appearance, localities, food, and economy, ... Insecta Haustellata.",1834,,,https://www.biodiversitylibrary.org/page/8185399,
Meyrick E.,71,"Meyrick E., 1881b, Descriptions of Australian Micro-Lepidoptera. V. Tortricina. vol 6 issue 3 pages 410–536",Descriptions of Australian Micro-Lepidoptera. V. Tortricina.,1881,,,https://www.biodiversitylibrary.org/page/3344007,
Meyrick E.,72,"Meyrick E., 1912b, Exotic Microlepidoptera 1. vol 1 issue 1–2 pages 1–64",Exotic Microlepidoptera 1.,1912,,,https://www.biodiversitylibrary.org/page/10439880,
Diakonoff A.,73,"Diakonoff A., 1957a, Tortricidae from Réunion (Microlepidoptera). vol (E) 8 issue  pages 237–283, pls 6–8",Tortricidae from Réunion (Microlepidoptera).,1957,,,,
Obraztsov N. S.,74,"Obraztsov N. S., 1954, Die Gattungen der palaearktischen Tortricidae. I. Allgemeine Aufteilung der Familie und ie Unterfamilies Tortricinae und Sparganothinae. vol 97 issue 3 pages 141–231",Die Gattungen der palaearktischen Tortricidae. I. Allgemeine Aufteilung der Familie und ie Unterfamilies Tortricinae und Sparganothinae.,1954,,,https://www.biodiversitylibrary.org/page/28241049,
Meyrick E.,75,"Meyrick E., 1911b, Notes and descriptions of New Zealand Lepidoptera. vol 43 (1910) issue  pages 58–78",Notes and descriptions of New Zealand Lepidoptera.,1911,,,https://www.biodiversitylibrary.org/page/9782097,
Lederer J.,76,"Lederer J., 1859, Classification der europäischen Tortricidae. vol 3 issue 5 pages 118–126, 141–155, 241–255, 273–288, pls 1–2",Classification der europäischen Tortricidae.,1859,,,https://www.biodiversitylibrary.org/page/31624752,
Meyrick E.,77,"Meyrick E., 1885b, Supplement to a monograph of the New Zealand Geometrina. vol 2 issue  pages 234–235",Supplement to a monograph of the New Zealand Geometrina.,1885,,,https://www.biodiversitylibrary.org/page/41863305,
Meyrick E.,78,"Meyrick E., 1909b, Descriptions of Transvaal Micro-Lepidoptera. vol 2 issue 1 pages 1–28, pls 1–8",Descriptions of Transvaal Micro-Lepidoptera.,1909,,,https://www.biodiversitylibrary.org/page/50494886,
Meyrick E.,79,"Meyrick E., 1933a, Exotic Microlepidoptera 4. vol 4 issue 12–14 pages 353–448",Exotic Microlepidoptera 4.,1933,,,https://www.biodiversitylibrary.org/page/60387025,
Diakonoff A.,80,"Diakonoff A., 1959b, Mabille's types of Malgassy Tortricidae (Lepidoptera). vol 26 issue 3 pages 167–186, pls 1–2",Mabille's types of Malgassy Tortricidae (Lepidoptera).,1959,,,,
Diakonoff A.,81,"Diakonoff A., 1969, Tortricidae from the Seychelles and Aldabra (Lepidoptera). vol 112 issue 3 pages 81–100, pls 1–13",Tortricidae from the Seychelles and Aldabra (Lepidoptera).,1969,,,https://www.biodiversitylibrary.org/page/28227813,
Diakonoff A.,82,"Diakonoff A., 1970a, Lepidoptera Tortricoidea from Tsaratanana Range (North Madagascar). vol 37 issue  pages 103–150",Lepidoptera Tortricoidea from Tsaratanana Range (North Madagascar).,1970,,,,
Diakonoff A.,83,"Diakonoff A., 1981, Tortricidae from Madagascar Part 2. Olethreutinae, 1. vol 17 issue 1 pages 7–32","Tortricidae from Madagascar Part 2. Olethreutinae, 1.",1981,,,https://gallica.bnf.fr/ark:/12148/bpt6k6141355v/f16.item,
Diakonoff A.,84,"Diakonoff A., 1989b, Tortricidae from Madagascar Part 2. Olethreutinae, 6 (Lepidoptera). vol 25 issue 4 pages 431–460","Tortricidae from Madagascar Part 2. Olethreutinae, 6 (Lepidoptera).",1989,,,https://gallica.bnf.fr/ark:/12148/bpt6k61414237/f49.item,
Diakonoff A.,85,"Diakonoff A., 1992, Tortricidae from Madagascar Part 2. Olethreutinae, 7. vol 28 issue 1 pages 37–71","Tortricidae from Madagascar Part 2. Olethreutinae, 7.",1992,,,https://gallica.bnf.fr/ark:/12148/bpt6k6132624c/f44.item,
Razowski J.,86,"Razowski J., 1995a, Catalogue of the species of Tortricidae (Lepidoptera). Part III: Afrotropical Chlidanotinae and Tortricinae: Phricanthini, Cochylini and Tortricini. vol 38 issue 2 pages 183–193","Catalogue of the species of Tortricidae (Lepidoptera). Part III: Afrotropical Chlidanotinae and Tortricinae: Phricanthini, Cochylini and Tortricini.",1995,,,,
Walker F.,87,"Walker F., 1863c, List of the Specimens of Lepidopterous Insects in the Collection of the British Museum. Part XXVIII.– Tortricites & Tineites. vol 28 issue  pages i–iv, 287–561",List of the Specimens of Lepidopterous Insects in the Collection of the British Museum. Part XXVIII.– Tortricites & Tineites.,1863,,,https://www.biodiversitylibrary.org/page/38947841,
Meyrick E.,88,"Meyrick E., 1934a, Exotic Microlepidoptera 4. vol 4 issue 15–17 pages 449–544",Exotic Microlepidoptera 4.,1934,,,https://www.biodiversitylibrary.org/page/60386673,
Diakonoff A.,89,"Diakonoff A., 1976, Tortricoidea from Nepal, 2. vol 144 issue  pages 1–145, 14 plates","Tortricoidea from Nepal, 2.",1976,,,https://www.repository.naturalis.nl/document/155293,
Viette P.,90,"Viette P., 1990a, Faune de Madagascar. Supplément 1. Liste récapitulative des Lépidoptères Hétérocères de Madagascar. vol 1 issue  pages 1–261",Faune de Madagascar. Supplément 1. Liste récapitulative des Lépidoptères Hétérocères de Madagascar.,1990,,,,
Diakonoff A.,91,"Diakonoff A., 1985a, In: Diakonoff, A., Ulenberg, S. & Vári, L. A new tortricid of Nerine plants originating from southern Africa (Lepidoptera, Tortricidae). vol 127 (1984) issue 10 pages 225–234","In: Diakonoff, A., Ulenberg, S. & Vári, L. A new tortricid of Nerine plants originating from southern Africa (Lepidoptera, Tortricidae).",1985,,,,
Diakonoff A.,92,"Diakonoff A., 1967, Microlepidoptera of the Philippine Islands. vol 257 issue  pages 1–484",Microlepidoptera of the Philippine Islands.,1967,,,https://www.biodiversitylibrary.org/page/7852003,
Meyrick E.,93,"Meyrick E., 1905, Descriptions of Indian Micro-Lepidoptera. I. vol 16 issue 4 pages 580–619",Descriptions of Indian Micro-Lepidoptera. I.,1905,,,https://www.biodiversitylibrary.org/page/5725935,
Walsingham Thomas de Grey,94,"Walsingham Thomas de Grey, 1897a, Western Equatorial African Micro-Lepidoptera. vol 1897 issue 1 pages 33–67, pls 2–3",Western Equatorial African Micro-Lepidoptera.,1897,,,https://www.biodiversitylibrary.org/page/14682934,
Diakonoff A.,95,"Diakonoff A., 1977c, Rearrangement of certain Glyphipterygidae sensu Meyrick, 1913, with descriptions of new taxa (Lepidoptera). vol 158 issue  pages 1–55","Rearrangement of certain Glyphipterygidae sensu Meyrick, 1913, with descriptions of new taxa (Lepidoptera).",1977,,,https://www.repository.naturalis.nl/document/155297,
Walsingham Thomas de Grey,96,"Walsingham Thomas de Grey, 1900a, Asiatic Tortricidae. vol (7) 5 issue  pages 368–386, 451–469, 481–490",Asiatic Tortricidae.,1900,,,https://www.biodiversitylibrary.org/page/16333785,
Stephens J. F.,97,"Stephens J. F., 1852a, List of the Specimens of British Animals in the Collection of the British Museum. vol 10 issue  pages 1–120",List of the Specimens of British Animals in the Collection of the British Museum.,1852,,,https://www.biodiversitylibrary.org/page/56425428,
Diakonoff A.,98,"Diakonoff A., 1983a, Tortricidae from the Comoro Islands (Lepidoptera). vol 19 issue 1 pages 55–68",Tortricidae from the Comoro Islands (Lepidoptera).,1983,,,,
Huemer P. & Koster J. C.,99,"Huemer P. & Koster J. C., 2006, Cosmopterix athesiae sp. n., a widespread new species from Europe and Africa (Lepidoptera: Cosmopterigidae, Cosmopteriginae). vol 86 issue  pages 75–82","Cosmopterix athesiae sp. n., a widespread new species from Europe and Africa (Lepidoptera: Cosmopterigidae, Cosmopteriginae).",2006,,,,
Maes K. V. N.,100,"Maes K. V. N., 2006a, Udeoides gen.n., a new genus of Spilomelinae from Africa (Lepidoptera: Pyraloidea, Crambidae). vol 8 issue 2 pages 127–137","Udeoides gen.n., a new genus of Spilomelinae from Africa (Lepidoptera: Pyraloidea, Crambidae).",2006,,,,
Maes K. V. N.,101,"Maes K. V. N., 2006b, Powysia gen.n., a new genus of Pyraustinae for Eastern Africa (Lepidoptera, Pyraloidea, Crambidae). vol 8 issue 2 pages 139–145","Powysia gen.n., a new genus of Pyraustinae for Eastern Africa (Lepidoptera, Pyraloidea, Crambidae).",2006,,,,
Dall'Asta U.,102,"Dall'Asta U., 1982b, Lobobunaea vandenberghei, espèce nouvelle de Saturniidae du Rwanda (Lepidoptera). vol 96 issue 1 pages 207–208","Lobobunaea vandenberghei, espèce nouvelle de Saturniidae du Rwanda (Lepidoptera).",1982,,,,
Robinson G. S. & Tuck K. R.,103,"Robinson G. S. & Tuck K. R., 1997, Phylogeny and composition of the Hieroxestinae (Lepidoptera: Tineidae). vol 22 issue  pages 263–396",Phylogeny and composition of the Hieroxestinae (Lepidoptera: Tineidae).,1997,,,,
Dall'Asta U.,104,"Dall'Asta U., 1979, Le genre Janomima Auriv. (Lepidoptera, Eupterotidae). vol 93 issue 4 pages 912–918","Le genre Janomima Auriv. (Lepidoptera, Eupterotidae).",1979,,,,
