author,ID,citation,title,year,source,doi,link,remarks
Hodges R. W.,10187,"Hodges R. W., 1974, Gelechioidea Oecophoridae. – In: Dominick R. B. et al. (eds.), The moths of America north of Mexico. vol 6 issue 2 pages 1–142, 7 pls","Gelechioidea Oecophoridae. – In: Dominick R. B. et al. (eds.), The moths of America north of Mexico.",1974,,,,
Lvovsky A. L.,10188,"Lvovsky A. L., 1996, Composition of the genus Odites Wesm. and its position in the classification of the Gelechioidea (Lepidoptera). vol 75 issue 3 pages 650–659",Composition of the genus Odites Wesm. and its position in the classification of the Gelechioidea (Lepidoptera).,1996,,,,
"Rajaei H., Hausmann A., Scoble M., Wanke D., Plotkin D., Brehm G., Murillo-Ramos L. & Sihvonen P.",10189,"Rajaei H., Hausmann A., Scoble M., Wanke D., Plotkin D., Brehm G., Murillo-Ramos L. & Sihvonen P., 2022, An online taxonomic facility of Geometridae (Lepidoptera), with an overview of global species richness and systematics. vol 5 issue 2 pages 1–48","An online taxonomic facility of Geometridae (Lepidoptera), with an overview of global species richness and systematics.",2022,,,,
Lees D. C. & Zilli A.,10190,"Lees D. C. & Zilli A., 2019, Moths, their biology, diversity and evolution. vol  issue  pages 1–208","Moths, their biology, diversity and evolution.",2019,,,,
Kobayashi H. & Nonaka M.,10191,"Kobayashi H. & Nonaka M., 2016, Molecular phylogeny of the Notodontidae: Subfamilies inferred from 28S rRNA sequences
(Lepidoptera, Noctuoidea, Notodontidae). vol 23 issue Suppl. 1 pages 1–83","Molecular phylogeny of the Notodontidae: Subfamilies inferred from 28S rRNA sequences
(Lepidoptera, Noctuoidea, Notodontidae).",2016,,,http://publ.moth.jp/special/vol23sup1.pdf,
Börner C.,10193,"Börner C., 1920, Ord. Lepidoptera. – In: Brohmer P. (ed.), Fauna von Deutschland (ein Bestimmungsbuch unserer heimischen Tierwelt). 2.  verbesserte Auflage. vol  issue  pages 328–355","Ord. Lepidoptera. – In: Brohmer P. (ed.), Fauna von Deutschland (ein Bestimmungsbuch unserer heimischen Tierwelt). 2.  verbesserte Auflage.",1920,,,,
Börner C.,10194,"Börner C., 1932, Ord. Lepidoptera. – In: Brohmer P. (ed.), Fauna von Deutschland (ein Bestimmungsbuch unserer heimischen Tierwelt). 4.  verbesserte Auflage. vol  issue  pages 369–404","Ord. Lepidoptera. – In: Brohmer P. (ed.), Fauna von Deutschland (ein Bestimmungsbuch unserer heimischen Tierwelt). 4.  verbesserte Auflage.",1932,,,,
Dubatolov V. V.,10195,"Dubatolov V. V., 2010, Tiger-moths of Eurasia (Lepidoptera, Arctiidae) (Nyctemerini by Rob de Vos & Vladimir V. Dubatolov). vol 65 issue  pages 1–106","Tiger-moths of Eurasia (Lepidoptera, Arctiidae) (Nyctemerini by Rob de Vos & Vladimir V. Dubatolov).",2010,,,https://www.zobodat.at/pdf/Neue-Entomologische-Nachrichten_65_0001-0106.pdf,
Stainton H. T.,10253,"Stainton H. T., 1858, Paris viewed lepidopterologically. vol 1858 issue  pages 151–153",Paris viewed lepidopterologically.,1858,,,https://www.biodiversitylibrary.org/page/10429512,
Sohn J.-C.,10197,"Sohn J.-C., 2015, A taxonomic review of the genus Phrealcia Chrétien, 1900 with description of a new species from Korea (Lepidoptera: Ypsolophidae). vol 43 issue 171 pages 425–437","A taxonomic review of the genus Phrealcia Chrétien, 1900 with description of a new species from Korea (Lepidoptera: Ypsolophidae).",2015,,,https://www.redalyc.org/articulo.oa?id=45543215009,
Rebel H.,10198,"Rebel H., 1907c, Bericht der Sektion für Lepidopterologie. Versammlung am 5. April 1907. vol 57 issue  pages 92–97",Bericht der Sektion für Lepidopterologie. Versammlung am 5. April 1907.,1907,,,https://www.biodiversitylibrary.org/page/42869451,
Taylor J. S.,10199,"Taylor J. S., 1968a, Insects at light: Hilton, Natal. vol 80 issue 4 pages 93–96","Insects at light: Hilton, Natal.",1968,,,https://www.biodiversitylibrary.org/page/30002393,
Taylor J. S.,10200,"Taylor J. S., 1968b, Notes on some South African Lepidoptera. vol 80 issue 6 pages 149–156",Notes on some South African Lepidoptera.,1968,,,https://www.biodiversitylibrary.org/page/30002481,
Hepburn G. A.,10201,"Hepburn G. A., 1967, A revised list of wattle insects and spiders of Southern Africa. vol  issue  pages 67–83",A revised list of wattle insects and spiders of Southern Africa.,1967,,,,
