taxonID,relatedTaxonID,relatedTaxonScientificName,type,referenceID,remarks
S125030040,,Pelargonium citronellum J.J.A. Van der Walt,has host,5757,
S125030040,,Pelargonium cucullatum (L.) L'Hér.,has host,3679,
S125030040,,Pelargonium hispidum Willd.,has host,5757,
S125030040,,Pelargonium panduriforme Eckl. & Zeyh.,has host,5757,
S125030040,,Pelargonium sp. ,has host,3679,
S130030010,,Acacia lahai Benth.,has host,7107,
S130030010,,Acacia seyal Delile,has host,7107,
S130110630,,Acacia mearnsii De Wild.,has host,10384,
S130110680,,Acacia sp. ,has host,1813,
S135010010,,Leucadendron argenteum (L.) R. Br.,has host,9889,
S135010010,,Protea compacta R. Br.,has host,6968,
S135010010,,Protea cynaroides (L.) L.,has host,9889,
S135010010,,Protea grandiceps Tratt.,has host,6968,
S135010010,,Protea magnifica Andrews,has host,6968,
S135010010,,Protea mundii Klotzsch,has host,9889,
S135010010,,Protea neriifolia R. Br.,has host,9889,
S140010020,,Rhus glauca Thunb.,has host,233,
S140010020,,Searsia lucida (L.) F. A. Barkley,has host,10384,
S145020010,,Undefined Lichens ,has host,238,
S150010010,,Rhus guenzii Sond.,has host,6,
S150010010,,Rhus lancea L. f.,has host,6,
S150010010,,Rhus pyroides Burch.,has host,6,
S150010030,,Terminalia sericea Burch. ex DC.,has host,6,
S150010050,,Bridelia micrantha (Hochst.) Baill.,has host,230,
S150015100,,Ziziphus jujuba Mill.,has host,1995,
S150015100,,Ziziphus mauritiana Lam.,has host,5519,
S150015100,,Ziziphus sp. ,has host,9708,
S150015100,,Ziziphus spinachristi L.,has host,1990,
S150015110,,Triumfetta rhomboidea Jacq.,has host,9708,
S150015120,,Sparmannia ricinocarpa (Eckl. & Zeyh.) Kuntze,has host,6,
S150015200,,Grewia occidentalis L.,has host,6,
S150020070,,Laportea podocarpa Wedd.,has host,7,
S160010210,,Undefined Decaying vegetable matter ,has host,7,
S160130030,,Undefined Lichens ,has host,228,
S160440030,,Undefined Grasses ,has host,7506,
S160440080,,Undefined Mosses ,has host,10384,
S160490120,,Berzelia lanuginosa (L.) Brongn.,has host,10384,
S160490120,,Manulea cheiranthus (L.) L.,has host,10384,
S160490580,,Manihot esculenta Crantz,has host,7,
S160490580,,Undefined Decaying vegetable matter ,has host,7,
S160490630,,Undefined polyphagous ,has host,10384,
S160490650,,Leucadendron sp. ,has host,10384,
S160620070,,Pinus patula Schiede & Deppe,has host,232,
S160810030,,Undefined Grasses ,has host,3205,
S160810050,,Coffea sp. ,has host,7506,
S160810110,,Arachis hypogaea L.,has host,3219,
S160810110,,Arachis hypogaea L.,has host,5078,
S160810110,,Citrus sp. ,has host,3219,
S160810110,,Coffea sp. ,has host,3124,
S160810110,,Coffea sp. ,has host,3219,
S160810110,,Cola sp. ,has host,3219,
S160810110,,Cola sp. ,has host,4591,
S160810110,,Combretum sp. ,has host,3219,
S160810110,,Hibiscus sp. ,has host,3219,
S160810110,,Maesopsis eminii Engl.,has host,7506,
S160810110,,Theobroma cacao L.,has host,3219,
S160810110,,Theobroma cacao L.,has host,5078,
S160810110,,Vernonia sp. ,has host,7506,
S160810120,,Asparagus sp. ,has host,1934,
S160810130,,Theobroma cacao L.,has host,3209,
S160820010,,Retama raetam (Forsskal) Webb.,has host,2194,
S160820030,,Alhagi maurorum Medik.,has host,3580,
S160830010,,Vachellia nilotica (L.) P.J.H. Hurter & Mahb.,has host,1946,
